Timestamp,Face_Detected,Class,Computational_Time
2024-11-09 14:03:40.637369,1,tinggi,0.0044
2024-11-09 14:03:40.673715,1,tinggi,0.0052
2024-11-09 14:03:40.717430,1,tinggi,0.0047
2024-11-09 14:03:40.758089,1,tinggi,0.0047
2024-11-09 14:03:40.805069,1,tinggi,0.0050
2024-11-09 14:03:40.842939,1,tinggi,0.0049
2024-11-09 14:03:40.876320,1,tinggi,0.0050
2024-11-09 14:03:40.925214,1,tinggi,0.0089
2024-11-09 14:03:40.966350,1,tinggi,0.0056
2024-11-09 14:03:41.003504,1,tinggi,0.0049
2024-11-09 14:03:41.032012,1,tinggi,0.0046
2024-11-09 14:03:41.066462,1,tinggi,0.0070
2024-11-09 14:03:41.098860,1,tinggi,0.0043
2024-11-09 14:03:41.145027,1,tinggi,0.0049
2024-11-09 14:03:41.182897,1,tinggi,0.0061
2024-11-09 14:03:41.215496,1,tinggi,0.0050
2024-11-09 14:03:41.251592,1,tinggi,0.0084
2024-11-09 14:03:41.286123,1,tinggi,0.0058
2024-11-09 14:03:41.317923,1,tinggi,0.0053
2024-11-09 14:03:41.355045,1,tinggi,0.0051
2024-11-09 14:03:41.390811,1,tinggi,0.0021
2024-11-09 14:03:41.427114,1,tinggi,0.0046
2024-11-09 14:03:41.460443,1,tinggi,0.0060
2024-11-09 14:03:41.491208,1,tinggi,0.0068
2024-11-09 14:03:41.539341,1,tinggi,0.0031
2024-11-09 14:03:41.571245,1,tinggi,0.0037
2024-11-09 14:03:41.607525,1,tinggi,0.0068
2024-11-09 14:03:41.639908,1,tinggi,0.0063
2024-11-09 14:03:41.671773,1,tinggi,0.0043
2024-11-09 14:03:41.702802,1,tinggi,0.0050
2024-11-09 14:03:41.738025,1,tinggi,0.0050
2024-11-09 14:03:41.773437,1,tinggi,0.0061
2024-11-09 14:03:41.806385,1,tinggi,0.0043
2024-11-09 14:03:41.838245,1,tinggi,0.0046
2024-11-09 14:03:41.878494,1,tinggi,0.0061
2024-11-09 14:03:41.907067,1,tinggi,0.0046
2024-11-09 14:03:41.936068,1,tinggi,0.0047
2024-11-09 14:03:41.971015,1,tinggi,0.0047
2024-11-09 14:03:42.001808,1,tinggi,0.0045
2024-11-09 14:03:42.035457,1,tinggi,0.0058
2024-11-09 14:03:42.072964,1,tinggi,0.0056
2024-11-09 14:03:42.111923,1,sangat_rendah,0.0054
2024-11-09 14:03:42.149010,1,sangat_rendah,0.0036
2024-11-09 14:03:42.182813,1,tinggi,0.0071
2024-11-09 14:03:42.218407,1,tinggi,0.0053
2024-11-09 14:03:42.251721,1,tinggi,0.0063
2024-11-09 14:03:42.288626,1,tinggi,0.0105
2024-11-09 14:03:42.323010,1,tinggi,0.0029
2024-11-09 14:03:42.356591,1,tinggi,0.0035
2024-11-09 14:03:42.392876,1,tinggi,0.0060
2024-11-09 14:03:42.432757,1,tinggi,0.0049
2024-11-09 14:03:42.473921,1,tinggi,0.0051
2024-11-09 14:03:42.517181,1,tinggi,0.0040
2024-11-09 14:03:42.558054,1,tinggi,0.0071
2024-11-09 14:03:42.595188,1,tinggi,0.0045
2024-11-09 14:03:42.643284,1,tinggi,0.0066
2024-11-09 14:03:42.674587,1,tinggi,0.0033
2024-11-09 14:03:42.705018,1,tinggi,0.0048
2024-11-09 14:03:42.734954,1,tinggi,0.0050
2024-11-09 14:03:42.765871,1,tinggi,0.0052
2024-11-09 14:03:42.800892,1,tinggi,0.0042
2024-11-09 14:03:42.834785,1,tinggi,0.0053
2024-11-09 14:03:42.879767,1,tinggi,0.0042
2024-11-09 14:03:42.935301,1,tinggi,0.0059
2024-11-09 14:03:42.987959,1,tinggi,0.0041
2024-11-09 14:03:43.023661,1,tinggi,0.0059
2024-11-09 14:03:43.060615,1,tinggi,0.0059
2024-11-09 14:03:43.093053,1,tinggi,0.0063
2024-11-09 14:03:43.123561,1,tinggi,0.0050
2024-11-09 14:03:43.155778,1,tinggi,0.0044
2024-11-09 14:03:43.198056,1,tinggi,0.0054
2024-11-09 14:03:43.239984,1,tinggi,0.0058
2024-11-09 14:03:43.277450,1,tinggi,0.0052
2024-11-09 14:03:43.308237,1,tinggi,0.0053
2024-11-09 14:03:43.352857,1,tinggi,0.0046
2024-11-09 14:03:43.388055,1,tinggi,0.0044
2024-11-09 14:03:43.425217,1,tinggi,0.0050
2024-11-09 14:03:43.473848,1,tinggi,0.0082
2024-11-09 14:03:43.512692,1,tinggi,0.0055
2024-11-09 14:03:43.544053,1,tinggi,0.0054
2024-11-09 14:03:43.585696,1,sangat_rendah,0.0047
2024-11-09 14:03:43.632516,1,sangat_rendah,0.0050
2024-11-09 14:03:43.668732,1,sangat_rendah,0.0046
2024-11-09 14:03:43.702672,1,sangat_rendah,0.0055
2024-11-09 14:03:43.741718,1,sangat_rendah,0.0047
2024-11-09 14:03:43.781305,1,sangat_rendah,0.0047
2024-11-09 14:03:43.814770,1,tinggi,0.0047
2024-11-09 14:03:43.845882,1,tinggi,0.0047
2024-11-09 14:03:43.880958,1,tinggi,0.0045
2024-11-09 14:03:43.915359,1,tinggi,0.0040
2024-11-09 14:03:43.946924,1,tinggi,0.0043
2024-11-09 14:03:43.979537,1,tinggi,0.0035
2024-11-09 14:03:44.011301,1,tinggi,0.0026
2024-11-09 14:03:44.037966,1,tinggi,0.0048
2024-11-09 14:03:44.068188,1,tinggi,0.0037
2024-11-09 14:03:44.100368,1,tinggi,0.0048
2024-11-09 14:03:44.136863,1,tinggi,0.0088
2024-11-09 14:03:44.180832,1,tinggi,0.0060
2024-11-09 14:03:44.216847,1,tinggi,0.0047
2024-11-09 14:03:44.250517,1,tinggi,0.0049
2024-11-09 14:03:44.300640,1,tinggi,0.0080
2024-11-09 14:03:44.338584,1,tinggi,0.0007
2024-11-09 14:03:44.371199,1,tinggi,0.0055
2024-11-09 14:03:44.405680,1,tinggi,0.0061
2024-11-09 14:03:44.437994,1,tinggi,0.0050
2024-11-09 14:03:44.475002,1,tinggi,0.0064
2024-11-09 14:03:44.511351,1,tinggi,0.0053
2024-11-09 14:03:44.546102,1,tinggi,0.0041
2024-11-09 14:03:44.589576,1,tinggi,0.0012
2024-11-09 14:03:44.634632,1,tinggi,0.0049
2024-11-09 14:03:44.676951,1,tinggi,0.0029
2024-11-09 14:03:44.710125,1,tinggi,0.0055
2024-11-09 14:03:44.744640,1,tinggi,0.0042
2024-11-09 14:03:44.775749,1,tinggi,0.0048
2024-11-09 14:03:44.808011,1,tinggi,0.0042
2024-11-09 14:03:44.840753,1,tinggi,0.0049
2024-11-09 14:03:44.887146,1,tinggi,0.0076
2024-11-09 14:03:44.917219,1,tinggi,0.0050
2024-11-09 14:03:44.957059,1,tinggi,0.0058
2024-11-09 14:03:44.995207,1,sangat_rendah,0.0049
2024-11-09 14:03:45.026335,1,tinggi,0.0051
2024-11-09 14:03:45.064231,1,tinggi,0.0065
2024-11-09 14:03:45.115156,1,tinggi,0.0033
2024-11-09 14:03:45.145131,1,tinggi,0.0051
2024-11-09 14:03:45.179046,1,tinggi,0.0042
2024-11-09 14:03:45.210331,1,tinggi,0.0043
2024-11-09 14:03:45.242182,1,tinggi,0.0053
2024-11-09 14:03:45.287322,1,tinggi,0.0070
2024-11-09 14:03:45.320801,1,tinggi,0.0053
2024-11-09 14:03:45.352557,1,tinggi,0.0066
2024-11-09 14:03:45.387211,1,tinggi,0.0041
2024-11-09 14:03:45.416621,1,tinggi,0.0037
2024-11-09 14:03:45.451794,1,tinggi,0.0044
2024-11-09 14:03:45.493461,1,tinggi,0.0053
2024-11-09 14:03:45.530487,1,tinggi,0.0049
2024-11-09 14:03:45.563387,1,tinggi,0.0052
2024-11-09 14:03:45.601042,1,tinggi,0.0099
2024-11-09 14:03:45.640226,1,tinggi,0.0057
2024-11-09 14:03:45.681642,1,tinggi,0.0041
2024-11-09 14:03:45.727966,1,tinggi,0.0064
2024-11-09 14:03:45.764289,1,tinggi,0.0049
2024-11-09 14:03:45.799031,1,tinggi,0.0047
2024-11-09 14:03:45.840431,1,sangat_rendah,0.0057
2024-11-09 14:03:45.879608,1,tinggi,0.0077
2024-11-09 14:03:45.913706,1,tinggi,0.0041
2024-11-09 14:03:45.947836,1,tinggi,0.0043
2024-11-19 12:59:27.073881,1,2,0.0264
2024-11-19 12:59:27.161796,1,2,0.0076
2024-11-19 12:59:27.204167,1,1,0.0035
2024-11-19 12:59:27.247408,1,1,0.0020
2024-11-19 12:59:27.284773,1,1,0.0068
2024-11-19 12:59:27.318437,1,1,0.0042
2024-11-19 12:59:27.383081,1,1,0.0070
2024-11-19 12:59:27.444577,1,1,0.0015
2024-11-19 12:59:27.501403,1,1,0.0080
2024-11-19 12:59:27.552557,1,2,0.0046
2024-11-19 12:59:27.601764,1,1,0.0000
2024-11-19 12:59:27.635657,1,1,0.0054
2024-11-19 12:59:27.678990,1,1,0.0121
2024-11-19 12:59:27.713329,1,1,0.0043
2024-11-19 12:59:27.747820,1,1,0.0070
2024-11-19 12:59:27.782518,1,1,0.0046
2024-11-19 12:59:27.824813,1,2,0.0043
2024-11-19 12:59:27.856819,1,1,0.0050
2024-11-19 12:59:27.892848,1,1,0.0056
2024-11-19 12:59:27.974368,1,1,0.0041
2024-11-19 12:59:28.033790,1,1,0.0000
2024-11-19 12:59:28.074909,1,1,0.0021
2024-11-19 12:59:28.111931,1,1,0.0068
2024-11-19 12:59:28.144104,1,1,0.0052
2024-11-19 12:59:28.176378,1,1,0.0043
2024-11-19 12:59:28.208934,1,1,0.0047
2024-11-19 12:59:28.255284,1,2,0.0056
2024-11-19 12:59:28.288443,1,2,0.0050
2024-11-19 12:59:28.328582,1,2,0.0055
2024-11-19 12:59:28.364678,1,2,0.0065
2024-11-19 12:59:28.412583,1,2,0.0096
2024-11-19 12:59:28.445332,1,2,0.0077
2024-11-19 12:59:28.489295,1,2,0.0020
2024-11-19 12:59:28.524783,1,2,0.0048
2024-11-19 12:59:28.564495,1,1,0.0070
2024-11-19 12:59:28.609069,1,1,0.0051
2024-11-19 12:59:28.671096,1,1,0.0103
2024-11-19 12:59:28.723468,1,1,0.0000
2024-11-19 12:59:28.764264,1,1,0.0050
2024-11-19 12:59:28.823751,1,1,0.0051
2024-11-19 12:59:28.867184,1,1,0.0050
2024-11-19 12:59:28.907662,1,1,0.0063
2024-11-19 12:59:28.947053,1,1,0.0041
2024-11-19 12:59:28.983062,1,1,0.0043
2024-11-19 12:59:29.026459,1,1,0.0046
2024-11-19 12:59:29.059172,1,1,0.0046
2024-11-19 12:59:29.098980,1,1,0.0053
2024-11-19 12:59:29.134491,1,1,0.0053
2024-11-19 12:59:29.181301,1,1,0.0071
2024-11-19 12:59:29.222420,1,1,0.0041
2024-11-19 12:59:29.256636,1,1,0.0050
2024-11-19 12:59:29.303294,1,1,0.0062
2024-11-19 12:59:29.337046,1,1,0.0039
2024-11-19 12:59:29.373975,1,1,0.0063
2024-11-19 12:59:29.412303,1,1,0.0089
2024-11-19 12:59:29.452368,1,1,0.0044
2024-11-19 12:59:29.497257,1,1,0.0061
2024-11-19 12:59:29.531950,1,1,0.0049
2024-11-19 12:59:29.568425,1,1,0.0055
2024-11-19 12:59:29.601521,1,1,0.0048
2024-11-19 12:59:29.635759,1,1,0.0052
2024-11-19 12:59:29.673014,1,1,0.0062
2024-11-19 12:59:29.710079,1,1,0.0043
2024-11-19 12:59:29.745172,1,2,0.0043
2024-11-19 12:59:29.776319,1,1,0.0049
2024-11-19 12:59:29.809783,1,1,0.0064
2024-11-19 12:59:29.842649,1,1,0.0053
2024-11-19 12:59:29.886631,1,1,0.0117
2024-11-19 12:59:29.928387,1,1,0.0050
2024-11-19 12:59:29.967791,1,1,0.0050
2024-11-19 12:59:30.009514,1,2,0.0057
2024-11-19 12:59:30.045149,1,2,0.0065
2024-11-19 12:59:30.094774,1,1,0.0081
2024-11-19 12:59:30.131591,1,1,0.0044
2024-11-19 12:59:30.167937,1,1,0.0051
2024-11-19 12:59:30.209464,1,1,0.0076
2024-11-19 12:59:30.253622,1,2,0.0047
2024-11-19 12:59:30.294732,1,2,0.0049
2024-11-19 12:59:30.340602,1,2,0.0040
2024-11-19 12:59:30.372665,1,2,0.0045
2024-11-19 12:59:30.420335,1,2,0.0084
2024-11-19 12:59:30.460194,1,2,0.0057
2024-11-19 12:59:30.491945,1,1,0.0044
2024-11-19 12:59:30.524239,1,1,0.0056
2024-11-19 12:59:30.556896,1,1,0.0000
2024-11-19 12:59:30.591179,1,2,0.0054
2024-11-19 12:59:30.628581,1,2,0.0048
2024-11-19 12:59:30.666178,1,2,0.0048
2024-11-19 12:59:30.698786,1,2,0.0049
2024-11-19 12:59:30.734687,1,2,0.0070
2024-11-19 12:59:30.768095,1,1,0.0073
2024-11-19 12:59:30.802920,1,1,0.0053
2024-11-19 12:59:30.839839,1,1,0.0054
2024-11-19 12:59:30.876564,1,1,0.0056
2024-11-19 12:59:30.924948,1,1,0.0087
2024-11-19 12:59:30.957202,1,1,0.0049
2024-11-19 12:59:30.990302,1,2,0.0050
2024-11-19 12:59:31.026074,1,2,0.0045
2024-11-19 12:59:31.059260,1,2,0.0050
2024-11-19 12:59:31.096352,1,2,0.0080
2024-11-19 12:59:31.127418,1,2,0.0040
2024-11-19 12:59:31.165109,1,2,0.0085
2024-11-19 12:59:31.199096,1,2,0.0062
2024-11-19 12:59:31.233615,1,2,0.0053
2024-11-19 12:59:31.267062,1,2,0.0050
2024-11-19 12:59:31.298554,1,2,0.0050
2024-11-19 12:59:31.341822,1,2,0.0031
2024-11-19 12:59:31.384349,1,2,0.0051
2024-11-19 12:59:31.435616,1,2,0.0075
2024-11-19 12:59:31.467425,1,2,0.0056
2024-11-19 12:59:31.509858,1,2,0.0056
2024-11-19 12:59:31.561198,1,2,0.0074
2024-11-19 12:59:31.602441,1,1,0.0052
2024-11-19 12:59:31.640385,1,1,0.0050
2024-11-19 12:59:31.677159,1,2,0.0047
2024-11-19 12:59:31.710577,1,2,0.0056
2024-11-19 12:59:31.745198,1,2,0.0039
2024-11-19 12:59:31.799272,1,2,0.0069
2024-11-19 12:59:31.837431,1,2,0.0071
2024-11-19 12:59:31.886098,1,2,0.0068
2024-11-19 12:59:31.920864,1,2,0.0043
2024-11-19 12:59:31.985602,1,2,0.0091
2024-11-19 12:59:53.722164,1,2,0.0158
2024-11-19 12:59:53.821283,1,2,0.0066
2024-11-19 12:59:53.855843,1,2,0.0055
2024-11-19 12:59:53.902944,1,2,0.0049
2024-11-19 12:59:53.944835,1,2,0.0075
2024-11-19 12:59:53.979734,1,2,0.0061
2024-11-19 12:59:54.016715,1,2,0.0059
2024-11-19 12:59:54.063724,1,2,0.0057
2024-11-19 12:59:54.105651,1,2,0.0034
2024-11-19 12:59:54.146319,1,2,0.0079
2024-11-19 12:59:54.197594,1,2,0.0072
2024-11-19 12:59:54.234938,1,2,0.0057
2024-11-19 12:59:54.272659,1,2,0.0050
2024-11-19 12:59:54.309489,1,2,0.0049
2024-11-19 12:59:54.348760,1,2,0.0079
2024-11-19 12:59:54.385618,1,2,0.0045
2024-11-19 12:59:54.415899,1,2,0.0044
2024-11-19 12:59:54.476358,1,2,0.0095
2024-11-19 12:59:54.510018,1,2,0.0000
2024-11-19 12:59:54.544947,1,2,0.0039
2024-11-19 12:59:54.628463,1,2,0.0031
2024-11-19 12:59:54.668577,1,2,0.0059
2024-11-19 12:59:54.703918,1,2,0.0064
2024-11-19 12:59:54.750233,1,2,0.0038
2024-11-19 12:59:54.787160,1,2,0.0047
2024-11-19 12:59:54.831827,1,2,0.0055
2024-11-19 12:59:54.875416,1,2,0.0032
2024-11-19 12:59:54.910900,1,2,0.0054
2024-11-19 12:59:54.945756,1,2,0.0060
2024-11-19 12:59:54.979160,1,2,0.0049
2024-11-19 12:59:55.023051,1,2,0.0050
2024-11-19 12:59:55.061298,1,2,0.0030
2024-11-19 12:59:55.098009,1,2,0.0067
2024-11-19 12:59:55.131277,1,2,0.0052
2024-11-19 12:59:55.165950,1,2,0.0063
2024-11-19 12:59:55.205977,1,2,0.0051
2024-11-19 12:59:55.238775,1,2,0.0039
2024-11-19 12:59:55.278758,1,2,0.0040
2024-11-19 12:59:55.312193,1,2,0.0060
